Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,32971317.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,9,.,.,0.000000,9.000000,,0.0,0,.,.,0.000000,0.000000,,,9,.,.,0.000000,9.000000,,0.0,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,32971317.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,9,.,.,0.000000,9.000000,,0.0,0,.,.,0.000000,0.000000,,,9,.,.,0.000000,9.000000,,0.0,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.62954,0.332795,0.0,40,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,619,.,.,259.000000,251.000000,,1.03187250996,260,.,.,133.000000,95.000000,,1.4,153,.,.,33.000000,77.000000,,0.428571428571,206,.,.,93.000000,79.000000,,1.17721518987
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.62954,0.332795,0.0,40,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,619,.,.,259.000000,251.000000,,1.03187250996,260,.,.,133.000000,95.000000,,1.4,153,.,.,33.000000,77.000000,,0.428571428571,206,.,.,93.000000,79.000000,,1.17721518987
INDEL,C1_5,TS_boundary,ALL,*,QUAL,*,0.0,0.4,0.166667,0.0,3,0,41689983.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6,.,.,2.000000,3.000000,,0.666666666667,2,.,.,2.000000,0.000000,,,3,.,.,0.000000,3.000000,,0.0,1,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_boundary,PASS,*,QUAL,*,0.0,0.4,0.166667,0.0,3,0,41689983.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6,.,.,2.000000,3.000000,,0.666666666667,2,.,.,2.000000,0.000000,,,3,.,.,0.000000,3.000000,,0.0,1,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,ALL,*,QUAL,*,0.0,0.632353,0.0,0.0,37,0,32971317.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,408,.,.,164.000000,169.000000,,0.970414201183,258,.,.,131.000000,95.000000,,1.37894736842,150,.,.,33.000000,74.000000,,0.445945945946,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,PASS,*,QUAL,*,0.0,0.632353,0.0,0.0,37,0,32971317.000000,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,408,.,.,164.000000,169.000000,,0.970414201183,258,.,.,131.000000,95.000000,,1.37894736842,150,.,.,33.000000,74.000000,,0.445945945946,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,ALL,*,QUAL,*,0.0,0.278689,0.445455,0.0,9,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,110,.,.,31.000000,55.000000,,0.563636363636,17,.,.,4.000000,13.000000,,0.307692307692,44,.,.,8.000000,24.000000,,0.333333333333,49,.,.,19.000000,18.000000,,1.05555555556
INDEL,C6_15,*,PASS,*,QUAL,*,0.0,0.278689,0.445455,0.0,9,0,41689983,32971317.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,110,.,.,31.000000,55.000000,,0.563636363636,17,.,.,4.000000,13.000000,,0.307692307692,44,.,.,8.000000,24.000000,,0.333333333333,49,.,.,19.000000,18.000000,,1.05555555556
