Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
SNP,*,*,ALL,*,QUAL,100500.000000,0.00257,0.857143,0.7599279999999999,0.002562,44361,114,44247,554,114,19,421,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10052.599609,0.695341,0.9909399999999999,0.238315,0.408616,44361,30846,13515,40866,30845,282,9739,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10053.799805,0.6952729999999999,0.9909399999999999,0.23828400000000002,0.408592,44361,30843,13518,40863,30844,282,9737,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10054.900391,0.6952729999999999,0.9909399999999999,0.238271,0.408592,44361,30843,13518,40861,30843,282,9736,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10056.799805,0.6952050000000001,0.9909389999999999,0.23829499999999998,0.408569,44361,30840,13521,40857,30839,282,9736,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10057.900391,0.69516,0.9909379999999999,0.23828200000000002,0.408553,44361,30838,13523,40855,30838,282,9735,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10060.599609,0.69516,0.9909379999999999,0.238288,0.408553,44361,30838,13523,40854,30837,282,9735,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10061.700195,0.6950930000000001,0.9909379999999999,0.238275,0.40853,44361,30835,13526,40852,30836,282,9734,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10062.799805,0.695025,0.990936,0.238304,0.408506,44361,30832,13529,40847,30831,282,9734,38,147,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10064.099609,0.69498,0.990936,0.23829699999999998,0.40849,44361,30830,13531,40844,30829,282,9733,38,147,,,,,,,,,,,,,,
